OBJECTID,DATE_CAPTURED,SCIENTIFIC_NAME,CAPTURE_METHOD,TOTAL_LENGTH,HEAD_LENGTH,SEX,SNOUT_VENT_LENGTH,TAIL_COMPLETE,REGION,ZONE_CODE
4091,2021-12-30 0:00,C. porosus,Trap,191,28,F,92,Y,Darwin,3
4092,2021-12-30 0:00,C. porosus,Trap,199,29,M,96,Y,Darwin,3
4148,2021-12-29 0:00,C. porosus,Trap,378,52,M,180,Y,Darwin,6
4276,2021-12-23 0:00,C. porosus,Trap,373,55,M,187,Y,Darwin,6
4277,2021-12-23 0:00,C. porosus,Trap,180,27,M,86,Y,Darwin,6
3976,2021-12-22 0:00,C. porosus,Trap,252,35,M,119,N,Darwin,4
4217,2021-12-21 0:00,C. porosus,Trap,196,27,M,92,Y,Darwin,1
4225,2021-12-18 0:00,C. porosus,Trap,154,23,M,71,Y,Darwin,1
4226,2021-12-18 0:00,C. porosus,Trap,172,27,M,79,Y,Darwin,1
3995,2021-12-17 0:00,C. porosus,Trap,148,24,U,71,Y,Darwin,1
3835,2021-12-14 0:00,C. porosus,Trap,183,28,M,87,Y,Darwin,4
3836,2021-12-14 0:00,C. porosus,Trap,230,34,M,104,Y,Darwin,6
3897,2021-12-07 0:00,C. porosus,Trap,215,30,F,101,Y,Darwin,1
4043,2021-12-02 0:00,C. porosus,Trap,285,41,M,140,Y,Darwin,4
4258,2021-12-01 0:00,C. porosus,Trap,156,23,M,73,Y,Darwin,6
4233,2021-11-30 0:00,C. porosus,Trap,209,31,M,92,Y,Darwin,3
4234,2021-11-30 0:00,C. porosus,Trap,171,24,F,75,Y,Darwin,1
4235,2021-11-30 0:00,C. porosus,Trap,180,25,F,77,Y,Darwin,3
4236,2021-11-30 0:00,C. porosus,Harpoon,137,21,M,67,Y,Darwin,1
4237,2021-11-30 0:00,C. porosus,Harpoon,173,26,M,80,Y,Darwin,4
4238,2021-11-30 0:00,C. porosus,Harpoon,109,15,U,49,Y,Darwin,1
4239,2021-11-30 0:00,C. porosus,Harpoon,103,15,U,47,Y,Darwin,1
4275,2021-11-30 0:00,C. porosus,Harpoon,237,32,M,107,Y,Darwin,1
4232,2021-11-27 0:00,C. porosus,Trap,176,25,M,79,Y,Darwin,4
4067,2021-11-25 0:00,C. porosus,Trap,205,31,F,93,Y,Darwin,6
4068,2021-11-25 0:00,C. porosus,Trap,149,22,F,70,Y,Darwin,3
3827,2021-11-24 0:00,C. porosus,Trap,157,23,F,74,Y,Darwin,4
3828,2021-11-24 0:00,C. porosus,Trap,161,24,M,77,Y,Darwin,4
3829,2021-11-24 0:00,C. porosus,Trap,217,32,F,99,Y,Darwin,1
4066,2021-11-24 0:00,C. porosus,Trap,167,24,M,78,Y,Darwin,4
4002,2021-11-18 0:00,C. porosus,Trap,268,40,M,122,Y,Darwin,4
4003,2021-11-18 0:00,C. porosus,Trap,147,21,M,66,Y,Darwin,3
4208,2021-11-18 0:00,C. porosus,Trap,171,26,M,80,Y,Darwin,4
3972,2021-11-13 0:00,C. porosus,Trap,218,34,M,106,N,Darwin,3
3973,2021-11-13 0:00,C. porosus,Trap,244,36,M,109,Y,Darwin,4
4089,2021-11-11 0:00,C. porosus,Trap,165,25,M,74,Y,Darwin,4
4090,2021-11-11 0:00,C. porosus,Trap,156,23,M,71,Y,Darwin,4
3774,2021-11-10 0:00,C. porosus,Trap,271,40,M,183,Y,Darwin,6
3773,2021-11-08 0:00,C. porosus,Trap,231,33,M,109,Y,Katherine,7
4054,2021-11-05 0:00,C. porosus,Trap,237,34,M,113,Y,Darwin,3
4256,2021-10-28 0:00,C. porosus,Trap,242,34,M,116,Y,Darwin,1
4257,2021-10-28 0:00,C. porosus,Trap,251,34,M,119,Y,Darwin,3
3772,2021-10-26 0:00,C. porosus,Trap,305,42,M,143,Y,Katherine,7
4253,2021-10-26 0:00,C. porosus,Trap,157,22,M,71,Y,Darwin,4
4254,2021-10-26 0:00,C. porosus,Trap,143,20,F,68,Y,Darwin,4
4255,2021-10-26 0:00,C. porosus,Trap,171,26,F,80,Y,Darwin,1
4240,2021-10-21 0:00,C. porosus,Trap,283,40,M,139,U,Darwin,6
3786,2021-10-19 0:00,C. porosus,Trap,210,30,F,101,Y,Darwin,3
4147,2021-10-18 0:00,C. porosus,Trap,288,37,M,133,Y,Katherine,7
3837,2021-10-13 0:00,C. porosus,Trap,290,40,M,136,Y,Katherine,7
4280,2021-10-13 0:00,C. porosus,Trap,302,43,M,143,Y,Darwin,7
3980,2021-10-08 0:00,C. porosus,Trap,255,36,F,119,Y,Darwin,6
4096,2021-10-07 0:00,C. porosus,Trap,160,23,M,75,Y,Darwin,3
4095,2021-10-06 0:00,C. porosus,Trap,266,38,F,129,Y,Darwin,4
4252,2021-10-06 0:00,C. porosus,Trap,211,31,M,97,Y,Darwin,1
3785,2021-09-29 0:00,C. porosus,Trap,263,38,M,122,Y,Darwin,4
3795,2021-09-29 0:00,C. porosus,Trap,186,28,M,90,Y,Darwin,4
4109,2021-09-28 0:00,C. porosus,Trap,203,24,M,94,Y,Darwin,6
4261,2021-09-28 0:00,C. porosus,Trap,269,,F,,N,Nhulunbuy,9
4260,2021-09-27 0:00,C. porosus,Trap,250,,M,,Y,Nhulunbuy,9
4108,2021-09-26 0:00,C. porosus,Trap,255,35,M,124,Y,Darwin,7
4019,2021-09-22 0:00,C. porosus,Trap,238,34,M,111,Y,Darwin,3
4247,2021-09-18 0:00,C. porosus,Trap,296,41,M,142,Y,Darwin,4
3831,2021-09-14 0:00,C. porosus,Trap,167,24,M,82,Y,Darwin,6
3849,2021-09-14 0:00,C. porosus,Trap,317,43,M,150,Y,Katherine,7
4029,2021-09-14 0:00,C. porosus,Trap,198,28,M,95,Y,Darwin,6
4039,2021-09-14 0:00,C. porosus,Trap,317,43,M,150,Y,Katherine,7
4245,2021-09-13 0:00,C. porosus,Trap,343,43,M,162,Y,Darwin,7
3979,2021-09-09 0:00,C. porosus,Trap,280,40,M,137,Y,Darwin,1
4030,2021-09-05 0:00,C. porosus,Trap,190,27,F,88,Y,Darwin,1
4246,2021-09-04 0:00,C. porosus,Trap,290,40,M,135,Y,Darwin,7
3978,2021-09-03 0:00,C. porosus,Trap,244,35,M,114,Y,Darwin,1
4200,2021-09-02 0:00,C. porosus,Trap,146,21,M,69,Y,Darwin,1
4201,2021-09-02 0:00,C. porosus,Trap,286,40,F,134,Y,Darwin,7
4202,2021-09-01 0:00,C. porosus,Trap,197,30,M,93,Y,Darwin,1
3780,2021-08-31 0:00,C. porosus,Trap,400,55,M,194,Y,Darwin,4
3781,2021-08-31 0:00,C. porosus,Trap,271,38,M,128,Y,Darwin,6
4228,2021-08-31 0:00,C. porosus,Trap,348,47,M,166,Y,Darwin,7
4270,2021-08-30 0:00,C. porosus,Trap,361,50,M,175,Y,Darwin,4
3776,2021-08-29 0:00,C. porosus,Trap,310,40,M,143,Y,Darwin,4
3916,2021-08-27 0:00,C. porosus,Trap,241,34,M,114,Y,Darwin,4
3918,2021-08-27 0:00,C. porosus,Trap,234,35,M,109,Y,Darwin,6
3919,2021-08-27 0:00,C. porosus,Trap,178,25,M,86,Y,Darwin,6
